Epochs,Training Accuracy,Validation Accuracy
0,0.0,0.0
1,52.94117647058823,58.55112333791838
2,67.24092755142146,75.56166895919303
3,74.78055810297393,79.00045850527282
4,78.94667889427485,84.13571756075194
5,82.62806236080178,87.66620816139385
6,85.05829948906066,88.53736817973407
7,86.92519323987948,91.10499770747363
8,88.74623345997642,86.9784502521779
9,89.21786977597274,92.98486932599725
10,90.04978383335516,92.98486932599725
11,90.80309183807154,95.09399358092618
12,91.15026857067994,95.36909674461256
13,92.78789466788943,95.55249885373682
14,93.30538451460762,95.36909674461256
15,93.57395519454998,95.64419990829894
16,94.1635005895454,97.11141678129299
17,95.20503078737063,97.38651994497937
18,95.17227826542644,97.20311783585511
19,95.7356216428665,95.96515359926639
20,95.84042971308791,96.56121045392022
21,94.98231363815013,97.43237047226043
22,96.22035896764051,98.02842732691425
23,96.32516703786192,97.66162310866575
24,96.65924276169265,97.75332416322787
25,96.71819730119219,96.10270518110958
26,96.3382680466396,98.07427785419533
27,96.48892964758286,97.89087574507107
28,96.9605659635792,98.07427785419533
29,97.08502554696712,97.66162310866575
30,97.0129699986899,98.12012838147639
31,97.59596488929648,97.56992205410363
32,97.7204244726844,98.21182943603851
33,97.48460631468623,98.07427785419533
34,97.66146993318486,98.62448418156809
35,97.51080833224158,98.71618523613022
36,97.59596488929648,98.25767996331957
37,97.78592951657278,98.53278312700596
38,98.02174767457095,98.67033470884915
39,97.92349010873838,98.57863365428702
40,98.44097995545657,98.67033470884915
41,97.94969212629373,98.4869325997249
42,98.42787894667889,98.44108207244383
43,98.22481331062492,98.71618523613022
44,98.21826280623608,98.76203576341128
45,98.52613651251146,98.62448418156809
46,98.55888903445565,98.67033470884915
47,98.40167692912354,98.25767996331957
48,98.25756583256911,98.30353049060064
49,98.61129306956636,98.57863365428702
50,98.47373247740076,98.25767996331957
