Epochs,Training Loss,Validation Loss
0,0.0,0.0
1,1.0541726712956898,0.4218248509857863
2,0.4882745971439801,0.265474552957359
3,0.342198349272894,0.35900962861072905
4,0.25239093410192587,0.265474552957359
5,0.1997903838595572,0.10912425492893169
6,0.16310755928206472,0.09353507565337002
7,0.13926372330669462,0.29665291150848233
8,0.11941569500851565,0.07794589637780834
9,0.10094327263199267,0.09353507565337002
10,0.09039696056596358,0.218707015130674
11,0.08050569893881829,0.10912425492893169
12,0.07362766933053845,0.062356717102246675
13,0.06563605397615617,0.17148097203117835
14,0.0572514083584436,0.07794589637780834
15,0.05705489322677846,0.015589179275561669
16,0.04893226778461941,0.031178358551123338
17,0.042185248264116335,0.0
18,0.044543429844097995,0.015589179275561669
19,0.0372068649285995,0.031178358551123338
20,0.03963055155246954,0.04676753782668501
21,0.030263330276431286,0.062356717102246675
22,0.028101663828114763,0.031178358551123338
23,0.02790514869644963,0.031178358551123338
24,0.02325429058037469,0.015589179275561669
25,0.024171361194812002,0.09353507565337002
26,0.02515393685313769,0.0
27,0.022795755273156033,0.031178358551123338
28,0.020372068649285997,0.062356717102246675
29,0.02181317961483034,0.0
30,0.020372068649285997,0.18707015130674004
31,0.022599240141490895,0.0
32,0.013952574348224814,0.0
33,0.015000655050438884,0.04676753782668501
34,0.016114240796541335,0.062356717102246675
35,0.012445958338792086,0.015589179275561669
36,0.009629241451591773,0.015589179275561669
37,0.010677322153805843,0.0
38,0.011266867548801258,0.015589179275561669
39,0.009760251539368532,0.0
40,0.00989126162714529,0.015589179275561669
41,0.013101008777675881,0.015589179275561669
42,0.015917725664876196,0.0
43,0.007991615354382288,0.0
44,0.007926110310493908,0.0
45,0.0053059085549587316,0.0
46,0.00550242368662387,0.031178358551123338
47,0.013035503733787502,0.0
48,0.010480807022140704,0.015589179275561669
49,0.007991615354382288,0.07794589637780834
50,0.008450150661600942,0.0
