Epochs,Training Accuracy,Validation Accuracy
0,0.0,0.0
1,88.22874361325822,98.71618523613022
2,98.36892440717935,99.08298945437872
3,99.12223241189571,99.6331957817515
4,99.41700510939343,99.58734525447042
5,99.46940914450413,99.44979367262724
6,99.68557578933577,99.58734525447042
7,99.60696973666973,99.72489683631362
8,99.63317175422507,99.44979367262724
9,99.65282326739158,99.67904630903256
10,99.65937377178042,99.67904630903256
11,99.81658587711254,99.72489683631362
12,99.77073234639067,99.67904630903256
13,99.7248788156688,99.54149472718936
14,99.78383335516835,99.72489683631362
15,99.8100353727237,99.6331957817515
16,99.8100353727237,99.6331957817515
17,99.75763133761299,99.6331957817515
18,99.77728285077951,99.67904630903256
19,99.82968688589021,99.72489683631362
20,99.82313638150137,99.67904630903256
21,99.8427878946679,99.6331957817515
22,99.83623739027905,99.67904630903256
23,99.86898991222324,99.67904630903256
24,99.71832831127998,99.6331957817515
25,99.79038385955718,99.67904630903256
26,99.8427878946679,99.58734525447042
27,99.84933839905673,99.72489683631362
28,99.92139394733394,99.72489683631362
29,99.89519192977859,99.67904630903256
30,99.8100353727237,99.67904630903256
31,99.86898991222324,99.72489683631362
32,99.85588890344556,99.67904630903256
33,99.82313638150137,99.6331957817515
34,99.8427878946679,99.67904630903256
35,99.88864142538975,99.6331957817515
36,99.82968688589021,99.58734525447042
37,99.86898991222324,99.58734525447042
38,99.83623739027905,99.72489683631362
39,99.80348486833486,99.67904630903256
40,99.89519192977859,99.6331957817515
41,99.85588890344556,99.6331957817515
42,99.82968688589021,99.72489683631362
43,99.86898991222324,99.6331957817515
44,99.86898991222324,99.77074736359468
45,99.90829293855627,99.72489683631362
46,99.85588890344556,99.6331957817515
47,99.88864142538975,99.67904630903256
48,99.92794445172278,99.6331957817515
49,99.77728285077951,99.72489683631362
50,99.62662124983623,99.6331957817515
