Epochs,Training Accuracy,Validation Accuracy
1,31.609070491922047,34.753932014205986
2,37.013692675505325,40.38559107052258
3,42.43280446279794,50.48198883815322
4,50.97442584945302,61.44089294774226
5,58.89299427660654,65.44901065449011
6,63.370281822792144,71.33434804667681
7,68.71694559153808,73.16083206494166
8,71.96986162428458,76.3064434297311
9,74.88951677171629,81.12633181126331
10,77.54111425052525,83.46017250126839
11,80.81576468883576,83.86605783866058
12,82.52553792653771,86.04769152714358
13,84.26429037165833,86.60578386605783
14,85.7349851481562,88.88888888888889
15,86.79997102079258,87.67123287671232
16,88.19821777874375,89.64992389649925
17,88.96616677533869,90.96905124302384
18,90.22676229805114,91.27346524606799
19,90.56726798522061,91.32420091324201
20,91.63949865971166,92.44038559107052
21,92.19010360066652,93.75951293759513
22,92.87835977686011,93.65804160324709
23,93.31304788814026,93.55657026889904
24,93.52314714192566,95.18011161846778
25,93.73324639571108,93.75951293759513
26,94.03028327175252,94.67275494672755
27,94.58088821270738,94.21613394216133
28,94.91414909802216,96.09335362760021
29,95.07353473882489,96.04261796042618
30,95.46475403897703,95.53526128868594
31,95.6386292834891,95.68746829020802
32,95.85597333912918,95.2308472856418
33,96.17474462073463,96.09335362760021
34,96.1819894225893,96.14408929477423
35,96.12403100775194,97.1588026382547
36,96.55871911903209,96.19482496194826
37,96.53698471346809,96.24556062912227
38,96.4862711004854,97.00659563673263
39,96.85575599507354,97.00659563673263
40,96.78330797652684,96.39776763064434
41,97.13105846555096,97.00659563673263
42,97.16003767296965,97.00659563673263
43,97.27595450264435,96.85438863521055
44,97.09483445627762,97.4124809741248
45,97.65268419908716,97.6154236428209
46,97.74686662319786,97.26027397260275
47,97.84829384916323,96.9558599695586
48,97.7830906324712,97.6154236428209
49,98.02216909367529,97.36174530695078
50,97.73237701948851,97.6154236428209
