Epochs,Training Accuracy,Validation Accuracy
0,0.0,0.0
1,66.36315996331717,80.78862906923429
2,84.2198349272894,83.72306281522238
3,88.78553648630944,90.1421366345713
4,91.38608672867811,90.73819348922513
5,93.06956635660946,90.27968821641448
6,94.52377833093148,94.1769830353049
7,95.24433381370366,95.78175149014214
8,95.77492466919954,95.69005043558
9,96.50858116074937,95.64419990829894
10,96.86885890213546,96.24025676295277
11,97.22258613913272,90.92159559834938
12,97.3928992532425,93.90187987161852
13,97.76627800340626,97.38651994497937
14,97.93659111751604,97.34066941769831
15,97.94314162190489,97.70747363594681
16,98.1855102842919,97.84502521779001
17,98.46718197301192,97.38651994497937
18,98.37547491156819,97.79917469050893
19,98.61129306956636,97.47822099954149
20,98.4802829817896,98.12012838147639
21,98.86676274073103,97.9825767996332
22,98.84056072317568,98.39523154516277
23,98.78160618367615,97.70747363594681
24,99.07637888117385,96.8363136176066
25,98.99122232411895,98.07427785419533
26,98.93881828900825,98.39523154516277
27,99.05672736800733,98.76203576341128
28,99.0501768636185,98.80788629069234
29,99.00432333289663,98.62448418156809
30,99.16153543822874,97.9825767996332
31,99.03707585484082,97.66162310866575
32,99.36460107428272,98.67033470884915
33,99.31874754356086,98.21182943603851
34,99.29909603039434,98.71618523613022
35,99.40390410061575,98.44108207244383
36,99.50216166644832,98.94543787253554
37,99.42355561378226,98.30353049060064
38,99.4301061181711,98.30353049060064
39,99.52836368400366,99.08298945437872
40,99.52836368400366,98.9912883998166
41,99.31874754356086,98.07427785419533
42,99.26634350845015,98.4869325997249
43,99.56111620594785,98.89958734525447
44,99.64627276300276,99.03713892709766
45,99.74453032883532,99.17469050894086
46,99.7248788156688,98.85373681797341
47,99.31874754356086,97.34066941769831
48,99.48906065767063,98.12012838147639
49,99.59386872789204,99.03713892709766
50,99.57421721472554,99.1288399816598
