Epochs,Training Accuracy,Validation Accuracy
0,0.0,0.0
1,46.95356082011157,49.87316083206494
2,70.57885966818807,67.83358701166921
3,80.30138375715424,59.41146626078133
4,85.67702673331884,69.05124302384576
5,88.75606752155329,77.3718924403856
6,91.95102513946243,87.3668188736682
7,94.01579366804317,72.70421106037544
8,95.24740998333695,66.36225266362253
9,96.03709338549591,63.06443429731101
10,96.3920886763747,93.65804160324709
11,96.88473520249221,85.94622019279554
12,97.11656886184163,88.68594622019279
13,97.1238136636963,69.40639269406392
14,97.82655944359922,90.76610857432775
15,98.05114830109396,86.91019786910198
