Epochs,Training Loss,Validation Loss
0,0.0,0.0
1,1.7866405853799898,1.1095890410958904
2,0.9534159240744766,1.2810755961440894
3,0.6368180830254293,0.4840182648401826
4,0.461928566253713,0.4687975646879756
5,0.35615445917554156,0.4216133942161339
6,0.26450771571397524,0.18772196854388634
7,0.19959429109613852,0.328259766615931
8,0.16641309860175324,0.15626585489599187
9,0.13113091356951387,0.09335362760020294
10,0.12026371078750996,0.0624048706240487
11,0.09910888937187567,0.20345002536783358
12,0.08932840686807215,0.1248097412480974
13,0.0868651742374846,0.09335362760020294
14,0.06505832065493009,0.0624048706240487
15,0.05962471926392813,0.030948756976154235
